식품명,칼로리,탄수화물,단백질,지방,섭취량
마들렌,90,10.00,1.00,5.00,1 cookie
마르게리따피자,4205,707.30,147.26,80.50,1529g
마르게리따피자,302,3.83,25.96,20.03,100g
마르게리따피자,1536,40.92,95.04,111.17,515g
마르게리타피자,100,1.00,8.00,7.00,16 slices
마르게리타피자,110,1.00,6.00,9.00,6 slices
마르게리타피자,110,0.00,6.00,10.00,5 slices
마른오징어,92,3.08,15.58,1.38,100g
마른오징어,350,11.72,59.24,5.25,100g
마른오징어,107,3.56,18.01,1.60,101g
마시멜로우,90,24.00,1.00,0.00,4 pieces
마시멜로우,100,24.00,1.00,0.00,4 pieces
마시멜로우,318,81.30,1.80,0.20,100g
마요네즈,390,23.90,0.90,33.40,100g
마요네즈,90,0.00,0.00,10.00,1 tbsp
마요네즈,90,0.00,0.00,11.00,1 tbsp
마카로니샐러드,1302,148.16,24.24,68.54,645g
마카로니샐러드,N/A,N/A,N/A,N/A,N/A
마카로니샐러드,N/A,N/A,N/A,N/A,N/A
마카롱,120,15.00,2.00,6.00,1 macaroon
마카롱,90,13.00,1.00,3.00,1 cookie
마카롱,80,10.00,1.00,4.00,1 macaron
마테차,N/A,N/A,N/A,N/A,N/A
마테차,N/A,N/A,N/A,N/A,N/A
마테차,55,12.00,0.00,0.00,1 bottle
막대사탕,130,32.00,3.00,1.00,1 cup
막대사탕,160,31.00,3.00,2.50,1 cup
막대사탕,150,16.00,2.00,10.00,1 oz
만두,918,78.32,94.63,21.63,819g
만두,320,31.00,9.00,18.00,4 pieces
만두,1272,207.40,33.85,32.93,1026g
만두국,918,78.32,94.63,21.63,819g
만두국,280,35.00,15.00,9.00,7 pieces
만두국,1272,207.40,33.85,32.93,1026g
망고,65,17.00,0.51,0.27,100g
망고,65,17.00,0.51,0.27,100g
망고,90,21.00,1.00,0.50,1 cup
매실,130,22.00,8.00,2.00,1 pouch
매실,160,28.00,5.00,2.50,1 pouch
매실,535,47.00,48.00,14.00,1 serving
맥주,43,3.55,0.46,0.00,100g
맥주,43,3.55,0.46,0.00,100g
맥주,206,21.50,0.00,0.00,1 bottle
머핀,1909,274.02,47.77,68.05,626g
머핀,277,48.00,5.50,6.50,100g
머핀,322,45.70,7.29,12.78,100g
메밀,92,19.94,3.38,0.62,100g
메밀,343,71.50,13.25,3.40,100g
메밀,N/A,N/A,N/A,N/A,N/A
메쉬드포테이토,168,31.30,2.68,3.88,162g
메쉬드포테이토,266,50.61,7.64,3.29,100g
메쉬드포테이토,947,153.74,27.33,26.15,987g
메쉬드포테이트,1699,297.73,32.45,39.64,1089g
메쉬드포테이트,1013,214.42,23.41,4.57,1089g
메쉬드포테이트,1530,235.58,67.47,33.62,1117g
멜론,34,8.16,0.84,0.19,100g
멜론,36,9.09,0.54,0.14,100g
멜론,60,15.00,1.00,0.00,1 container
명란젓,1445,16.77,190.00,82.41,745g
명란젓,2292,89.63,208.60,117.77,1086g
명란젓,252,4.00,24.60,17.90,100g
모듬초밥,210,35.00,7.00,10.00,4 pieces
모듬초밥,1924,402.26,57.85,5.65,1345g
모듬초밥,390,55.00,22.00,7.00,10 pieces
모듬튀김,22,4.69,1.11,0.22,149g
모듬튀김,140,26.00,0.90,4.50,3 pieces
모듬튀김,140,28.00,5.00,0.50,1 roll
모듬회,108,0.00,23.38,0.95,100g
모듬회,146,0.00,21.62,5.93,100g
모듬회,146,0.00,23.14,5.24,100g
모짜렐라치즈,302,3.83,25.96,20.03,100g
모짜렐라치즈,N/A,N/A,N/A,N/A,N/A
모짜렐라치즈,60,0.00,6.00,4.50,1 oz
무김치,N/A,N/A,N/A,N/A,N/A
무김치,15,3.00,1.00,0.00,1 oz
무김치,N/A,N/A,N/A,N/A,N/A
무우,16,3.40,0.68,0.10,100g
무우,16,3.40,0.68,0.10,100g
무우,13,3.00,1.00,0.00,6 radishes
문어,82,2.20,14.91,1.04,100g
문어,2043,116.25,184.05,88.00,1086g
문어,164,4.40,29.82,2.08,100g
물미역,0,0.00,0.00,0.00,100g
물미역,0,0.00,0.00,0.00,1 bottle
물미역,N/A,N/A,N/A,N/A,N/A
뮤즐리,216,16.95,0.20,0.01,225g
뮤즐리,1699,297.73,32.45,39.64,1089g
뮤즐리,1013,214.42,23.41,4.57,1089g
미소라멘,280,34.00,5.00,13.00,1 cup
미소라멘,410,81.00,13.00,3.00,1 serving
미소라멘,N/A,N/A,N/A,N/A,N/A
미소장국,160,25.00,2.00,6.00,5 pieces
미소장국,280,48.00,0.00,0.00,1 pouch
미소장국,980,103.00,31.00,50.00,1 serving
미역국,30,1.00,1.00,2.00,1 package
미역국,N/A,N/A,N/A,N/A,N/A
